Timestamp,Temperature (°C),Humidity (%),Sound (dB),Light (LDR),AQI,Heart Rate (bpm),SpO2 (%),Latitude,Longitude
2025-05-20 09:21:00,30.1,55.9,74.2,1001,54,84,98,12.97199802704044,79.1588598939906
2025-05-20 09:22:00,31.2,66.0,70.9,899,128,78,97,12.970295999356681,79.15775811611107
2025-05-20 09:23:00,32.3,46.8,89.2,890,118,81,98,12.971108508612781,79.15724110253393
2025-05-20 09:24:00,30.9,47.3,73.6,533,67,74,98,12.97093124791267,79.15787084845275
2025-05-20 09:25:00,26.9,45.1,68.9,614,207,95,93,12.971630980100993,79.1582753981781
2025-05-20 09:26:00,30.9,54.5,67.9,807,212,86,94,12.97187628228931,79.15783991872568
2025-05-20 09:27:00,25.7,74.8,51.6,227,104,65,98,12.971494397538542,79.15891373003275
2025-05-20 09:28:00,30.8,55.0,66.3,514,115,74,98,12.97131970108035,79.15697663219693
2025-05-20 09:29:00,29.5,56.7,88.5,338,58,66,97,12.972047722700204,79.15841928662263
2025-05-20 09:30:00,31.6,72.4,54.0,148,180,96,96,12.97149028120369,79.1584343351139
2025-05-20 09:31:00,31.7,62.9,68.1,374,56,69,96,12.971380403934553,79.15812346071962
2025-05-20 09:32:00,31.4,70.8,67.1,562,146,79,97,12.971323895471546,79.15796107282551
2025-05-20 09:33:00,33.8,43.8,75.0,1008,93,74,98,12.971950657187914,79.15785917887845
2025-05-20 09:34:00,25.6,53.1,67.6,714,175,87,96,12.972155139934026,79.15743053161938
2025-05-20 09:35:00,29.2,58.8,77.8,430,83,71,98,12.972231401470642,79.15778470475564
2025-05-20 09:36:00,29.6,66.7,55.6,592,105,66,99,12.972629770341674,79.15727055546625
2025-05-20 09:37:00,32.0,62.9,54.6,269,251,85,95,12.97143549887086,79.15821737546965
2025-05-20 09:38:00,29.9,61.7,67.1,202,134,83,98,12.971423999505713,79.1568698766035
2025-05-20 09:39:00,29.3,58.1,58.0,838,131,75,99,12.971398916195803,79.15852688489517
2025-05-20 09:40:00,30.6,58.5,56.0,226,65,75,97,12.97173476104764,79.15749507648819
2025-05-20 09:41:00,28.4,66.6,89.6,719,217,88,95,12.971875026993976,79.15843540782011
2025-05-20 09:42:00,27.8,40.3,67.7,963,165,85,98,12.971485962064103,79.1579568489068
2025-05-20 09:43:00,31.7,82.6,63.0,512,139,78,97,12.971792399498062,79.15844061046167
2025-05-20 09:44:00,30.9,72.7,56.5,735,173,97,96,12.971894659265311,79.1588620020959
2025-05-20 09:45:00,27.5,49.8,81.0,643,134,84,99,12.971897192425521,79.15727401649444
2025-05-20 09:46:00,28.1,56.8,63.4,285,265,104,94,12.971264064911406,79.15762281164824
2025-05-20 09:47:00,30.6,36.7,73.3,224,116,69,96,12.970913416303253,79.15788723481613
2025-05-20 09:48:00,30.9,60.9,77.7,809,154,87,98,12.971177253495966,79.1582294208204
2025-05-20 09:49:00,30.2,55.1,67.7,729,73,68,98,12.97175446077331,79.15760203390532
2025-05-20 09:50:00,27.8,55.5,69.8,926,84,80,99,12.97189030785365,79.15850433221672
2025-05-20 09:51:00,28.2,60.4,63.6,672,252,97,95,12.971726704290365,79.15832706317805
2025-05-20 09:52:00,29.4,61.0,73.6,179,92,76,96,12.971766247552907,79.15811210530836
2025-05-20 09:53:00,29.0,49.0,78.8,797,143,80,98,12.97174327724907,79.1584686039334
2025-05-20 09:54:00,31.1,52.5,66.3,861,119,76,97,12.971377915225386,79.15772106146714
2025-05-20 09:55:00,28.4,53.0,77.0,677,217,90,94,12.971401643124487,79.15895452657936
2025-05-20 09:56:00,31.8,66.3,83.9,962,82,69,97,12.971582569129035,79.15787080947112
2025-05-20 09:57:00,29.2,43.7,75.0,339,54,71,97,12.972262508695362,79.1577521746092
2025-05-20 09:58:00,27.5,67.4,54.1,327,232,86,93,12.971481981953993,79.15805802792228
2025-05-20 09:59:00,29.5,71.0,62.8,921,63,67,98,12.971465465597808,79.15862333450599
2025-05-20 10:00:00,27.4,70.1,75.2,140,81,81,96,12.97238366604343,79.15757633781934
2025-05-20 10:01:00,28.4,64.6,66.0,760,206,95,93,12.970946427973958,79.15892901970939
2025-05-20 10:02:00,28.6,78.1,57.2,338,119,76,96,12.972136022304154,79.15807550116418
2025-05-20 10:03:00,27.0,70.0,71.6,643,138,78,96,12.97063246323262,79.1578473340332
2025-05-20 10:04:00,25.7,71.8,73.7,287,104,69,98,12.971237505252175,79.1582249047422
2025-05-20 10:05:00,35.3,68.0,75.8,565,162,95,99,12.970847846518254,79.15743261190775
2025-05-20 10:06:00,28.2,79.7,70.3,854,191,97,99,12.971675647102904,79.15770998688429
2025-05-20 10:07:00,28.9,64.4,69.0,237,216,90,94,12.972653081766628,79.1581155909741
2025-05-20 10:08:00,33.8,46.5,79.9,1014,54,72,98,12.97120859905922,79.15794282374428
2025-05-20 10:09:00,27.2,55.3,84.2,553,118,78,96,12.970912193689975,79.15823016332392
2025-05-20 10:10:00,30.1,58.9,46.5,991,295,97,94,12.971430517169896,79.15814357075456
2025-05-20 10:11:00,34.1,76.1,68.4,616,195,100,98,12.971571504349976,79.15897838928521
2025-05-20 10:12:00,32.4,91.5,70.9,784,131,80,96,12.971643549175742,79.15820938451266
2025-05-20 10:13:00,32.7,63.6,64.2,718,142,67,99,12.971445937759999,79.157641941975
2025-05-20 10:14:00,29.6,70.8,71.0,398,125,69,96,12.972338979660265,79.15844555735558
2025-05-20 10:15:00,28.2,49.1,62.5,391,185,99,96,12.97180614975875,79.15806489854518
2025-05-20 10:16:00,31.6,39.6,62.2,567,51,65,96,12.971852806794622,79.15928478443564
2025-05-20 10:17:00,30.5,54.0,70.3,442,97,69,96,12.970976632269991,79.15783437587625
2025-05-20 10:18:00,31.1,53.0,59.4,928,123,69,96,12.9713384387491,79.1583640361055
2025-05-20 10:19:00,31.1,55.5,91.9,308,129,77,96,12.972141534568173,79.1570893948409
2025-05-20 10:20:00,31.4,43.4,77.2,623,129,77,98,12.97123597051698,79.15839077859418
2025-05-20 10:21:00,33.3,59.0,70.0,355,123,84,96,12.971471220407729,79.15712936237512
2025-05-20 10:22:00,32.1,60.5,67.7,217,122,66,97,12.971781948484189,79.15877290501365
2025-05-20 10:23:00,27.5,52.6,67.0,546,273,98,94,12.972692988047827,79.15656238368747
2025-05-20 10:24:00,28.9,86.3,62.0,211,212,86,95,12.970935836359605,79.1573933939886
2025-05-20 10:25:00,32.9,60.5,70.0,755,103,80,96,12.973000854761048,79.157889240817
2025-05-20 10:26:00,28.3,56.8,87.4,493,59,68,96,12.971886539442083,79.15823237220772
2025-05-20 10:27:00,34.7,60.0,57.7,625,104,77,99,12.971967095995094,79.15886517406254
2025-05-20 10:28:00,27.0,38.6,75.8,206,89,84,98,12.971301638017827,79.15855749259488
2025-05-20 10:29:00,27.9,75.2,60.4,341,86,73,97,12.972366613527457,79.1581577430421
2025-05-20 10:30:00,28.5,66.1,83.1,285,102,83,99,12.971146265156431,79.15741555251921
2025-05-20 10:31:00,30.6,59.8,82.3,493,135,77,97,12.971574557257169,79.15809536177984
2025-05-20 10:32:00,27.6,73.5,70.8,409,98,78,96,12.971934840402481,79.15760035772425
2025-05-20 10:33:00,27.1,77.8,64.9,818,137,66,99,12.97128893760559,79.15821953838058
2025-05-20 10:34:00,23.7,34.3,71.0,901,81,81,98,12.972252280767172,79.15701211970102
2025-05-20 10:35:00,32.1,47.8,69.2,701,82,74,96,12.972642385773929,79.15755384229365
2025-05-20 10:36:00,30.7,56.1,64.3,671,64,78,98,12.972181940457853,79.15799156617062
2025-05-20 10:37:00,28.8,77.9,74.9,738,171,89,99,12.97087309091307,79.15778619082104
2025-05-20 10:38:00,32.3,62.5,64.5,289,125,83,97,12.971688687497494,79.1585740527513
2025-05-20 10:39:00,32.5,54.3,83.1,717,109,75,99,12.972184596763466,79.15784828173024
2025-05-20 10:40:00,31.6,70.0,79.1,603,194,98,99,12.97190843552226,79.1579446618791
2025-05-20 10:41:00,29.8,57.7,60.3,381,268,99,93,12.972150891306583,79.1579890647257
2025-05-20 10:42:00,30.0,52.9,72.4,556,87,77,99,12.972289447529503,79.15829332179707
2025-05-20 10:43:00,32.5,61.7,57.0,850,95,68,99,12.970528332723184,79.15910839215168
2025-05-20 10:44:00,24.7,42.1,81.1,380,210,103,93,12.971321972720311,79.15832900984081
2025-05-20 10:45:00,29.1,59.0,72.8,742,61,74,98,12.971177663543074,79.15824737174391
2025-05-20 10:46:00,31.9,56.6,72.1,104,67,76,99,12.971804013839368,79.15766829262742
2025-05-20 10:47:00,29.7,69.5,72.4,321,84,67,96,12.972103668858793,79.1586713070288
2025-05-20 10:48:00,32.0,58.4,68.7,587,108,84,97,12.971507471360322,79.1568791271291
2025-05-20 10:49:00,29.4,75.2,63.2,995,95,71,98,12.971223242299759,79.15798919801026
2025-05-20 10:50:00,27.5,59.6,84.0,1017,257,104,94,12.972269254200542,79.1578451675338
2025-05-20 10:51:00,34.5,55.4,72.0,879,86,71,96,12.972039156568895,79.15745780681713
2025-05-20 10:52:00,27.1,53.4,71.7,449,72,69,97,12.972641044238276,79.15871735022327
2025-05-20 10:53:00,33.2,32.0,76.6,632,293,100,93,12.971867780361361,79.15783104459382
2025-05-20 10:54:00,30.7,61.1,82.7,545,119,72,99,12.972063487306665,79.15777100515574
2025-05-20 10:55:00,30.3,48.6,61.6,410,64,70,97,12.972221755123327,79.15843990920398
2025-05-20 10:56:00,35.3,63.4,62.0,483,100,73,98,12.971164060421403,79.15718238915774
2025-05-20 10:57:00,29.5,66.4,53.1,1007,57,68,97,12.97157084595248,79.157897473784
2025-05-20 10:58:00,28.8,49.9,71.4,373,103,83,97,12.971438487007195,79.15899247448985
2025-05-20 10:59:00,28.3,53.9,79.9,130,123,81,96,12.971829577942946,79.15868947881897
2025-05-20 11:00:00,30.4,82.7,83.4,342,61,71,97,12.971556713895357,79.15730618868395
2025-05-20 11:01:00,27.5,65.7,76.7,1017,146,69,97,12.971810899532104,79.15848092790888
2025-05-20 11:02:00,30.0,61.5,66.3,880,132,80,99,12.971625949572221,79.15829421954838
2025-05-20 11:03:00,30.0,60.9,59.4,791,54,75,98,12.97132442417553,79.15828875654448
2025-05-20 11:04:00,28.4,65.8,71.0,609,249,100,95,12.97124610901242,79.15844052859747
2025-05-20 11:05:00,31.0,70.2,85.0,396,98,76,99,12.97178164354857,79.15834441672081
2025-05-20 11:06:00,30.8,40.5,47.0,560,160,95,98,12.971024912561328,79.1589880400962
2025-05-20 11:07:00,27.2,56.9,83.3,967,50,68,96,12.971942969558604,79.15771728459667
2025-05-20 11:08:00,32.7,61.2,53.9,337,58,69,99,12.972126117535199,79.15849372689179
2025-05-20 11:09:00,28.3,59.2,78.9,187,232,88,95,12.971378095531822,79.15819597254405
2025-05-20 11:10:00,32.0,46.5,65.4,273,86,76,99,12.972105929112354,79.1585684032177
2025-05-20 11:11:00,29.4,58.8,61.0,901,127,67,98,12.971788830030654,79.15820889625503
2025-05-20 11:12:00,29.7,52.9,90.9,910,50,79,98,12.97174284724717,79.15798877507079
2025-05-20 11:13:00,32.5,71.8,72.3,735,90,82,96,12.970589571049954,79.15826085992931
2025-05-20 11:14:00,31.5,49.8,60.5,955,166,92,99,12.97182822145661,79.15785689236178
2025-05-20 11:15:00,28.1,78.3,64.3,707,226,95,93,12.971728726075208,79.15857567161419
2025-05-20 11:16:00,26.7,56.9,84.4,974,95,67,97,12.970937594308923,79.15716610046486
2025-05-20 11:17:00,32.8,49.4,66.8,707,298,87,93,12.971478115224853,79.1581019289155
2025-05-20 11:18:00,27.1,72.5,71.5,759,53,65,96,12.971510310210832,79.15822465129104
2025-05-20 11:19:00,27.7,71.2,81.9,449,128,72,99,12.971819920768887,79.15709302652317
2025-05-20 11:20:00,31.5,57.3,68.0,183,134,68,98,12.97113635625736,79.15777926183935
2025-05-20 11:21:00,34.1,76.4,70.3,282,140,83,98,12.971725021860921,79.1582047844557
2025-05-20 11:22:00,31.7,65.2,82.1,409,105,67,98,12.972512164994919,79.15800303315719
2025-05-20 11:23:00,33.6,55.7,71.5,176,253,98,93,12.971771417345872,79.1588336089814
2025-05-20 11:24:00,26.8,60.9,89.8,226,258,99,95,12.971976522961217,79.15775688554578
2025-05-20 11:25:00,29.1,54.3,66.0,701,229,103,94,12.971818051264576,79.15890263635205
2025-05-20 11:26:00,33.0,56.5,60.9,457,267,85,94,12.972318945084485,79.15822438358938
2025-05-20 11:27:00,31.2,78.1,58.5,962,97,66,96,12.971994792230019,79.15801882682184
2025-05-20 11:28:00,26.3,65.1,63.2,269,63,75,98,12.971475235107295,79.1578356295907
2025-05-20 11:29:00,31.8,66.4,65.2,990,129,74,97,12.971646172343608,79.1575962888646
2025-05-20 11:30:00,33.2,57.6,89.1,632,113,77,96,12.971221330756968,79.1577581104189
2025-05-20 11:31:00,30.1,48.6,69.3,301,83,76,97,12.97171246948439,79.15779362307717
2025-05-20 11:32:00,27.6,77.9,69.5,957,273,88,94,12.970666574911741,79.15848414685837
2025-05-20 11:33:00,29.1,66.1,66.9,148,107,82,99,12.972652493802839,79.15747578803585
2025-05-20 11:34:00,34.2,74.8,83.8,810,143,83,97,12.970906252258702,79.1580963425754
2025-05-20 11:35:00,32.4,67.7,51.7,851,69,82,97,12.971872400748678,79.15780178671412
2025-05-20 11:36:00,30.5,70.7,47.0,101,89,66,96,12.971732285749557,79.15706982807185
2025-05-20 11:37:00,33.1,71.7,65.0,816,148,68,98,12.972221183823985,79.15823746694667
2025-05-20 11:38:00,32.6,53.8,60.7,243,85,79,98,12.971981484431701,79.15885412126387
2025-05-20 11:39:00,33.5,58.3,64.6,692,90,80,97,12.971013039334624,79.15805676201974
2025-05-20 11:40:00,31.1,65.3,66.2,554,93,72,96,12.97125134308836,79.15832303814102
2025-05-20 11:41:00,29.2,44.8,63.4,353,244,100,94,12.97208278819277,79.15830585493038
2025-05-20 11:42:00,31.3,45.1,63.4,117,187,102,96,12.972149577352575,79.15824986555998
2025-05-20 11:43:00,30.3,61.8,69.1,608,144,77,97,12.970459564411604,79.15887549902934
2025-05-20 11:44:00,29.4,59.0,44.3,384,114,75,99,12.971860524874488,79.15758073120809
2025-05-20 11:45:00,28.2,52.6,51.1,590,84,70,97,12.97160273753573,79.15840334060941
2025-05-20 11:46:00,36.3,67.8,75.7,151,108,68,98,12.97204606498814,79.15793448429895
2025-05-20 11:47:00,27.3,61.4,64.3,896,77,77,96,12.971362579844934,79.1577825193581
2025-05-20 11:48:00,33.0,59.3,91.2,194,138,68,98,12.971482159312744,79.15778819501662
2025-05-20 11:49:00,29.9,49.3,52.1,292,138,82,99,12.971801944297932,79.15741626837826
2025-05-20 11:50:00,29.4,47.6,75.8,719,133,73,99,12.971219682892178,79.15846844766061
2025-05-20 11:51:00,30.0,55.9,55.4,549,217,95,94,12.972018177585861,79.15729792365968
2025-05-20 11:52:00,29.5,43.5,44.8,485,144,81,96,12.971575864905509,79.15686352555915
2025-05-20 11:53:00,27.2,55.5,83.6,250,84,66,97,12.972823181613592,79.1578771448175
2025-05-20 11:54:00,30.4,59.4,45.1,521,133,83,96,12.971985793808512,79.15870039850392
2025-05-20 11:55:00,28.3,63.2,36.8,754,225,102,95,12.971643672331824,79.1579380582575
2025-05-20 11:56:00,29.5,72.9,78.6,267,51,68,96,12.971770219877104,79.1582096205193
2025-05-20 11:57:00,28.9,60.6,82.7,885,199,89,98,12.97094261623829,79.15762666903191
2025-05-20 11:58:00,30.8,76.1,78.4,290,107,84,97,12.971204066256677,79.15790995350115
2025-05-20 11:59:00,32.7,62.6,72.2,823,196,88,97,12.971958694885577,79.15709627483281
2025-05-20 12:00:00,28.3,59.2,62.8,1014,205,85,94,12.972121426801184,79.15825167321871
2025-05-20 12:01:00,31.0,56.1,70.7,739,138,74,98,12.971249236651241,79.15800401629475
2025-05-20 12:02:00,30.0,39.8,69.4,147,52,81,96,12.97140521646761,79.15715424091148
2025-05-20 12:03:00,35.9,61.5,64.8,435,173,87,99,12.97033630432983,79.15785933336598
2025-05-20 12:04:00,31.2,66.8,64.3,485,85,79,97,12.9713089041875,79.15841617647686
2025-05-20 12:05:00,29.4,60.7,72.6,243,86,69,97,12.971726843061703,79.15894377436632
2025-05-20 12:06:00,27.4,54.3,75.4,367,76,72,96,12.970562365981971,79.15789170488029
2025-05-20 12:07:00,28.1,53.0,70.1,852,272,86,95,12.972254349965148,79.15852896254458
2025-05-20 12:08:00,36.0,62.1,66.5,504,210,87,94,12.972752161838214,79.15799620510496
2025-05-20 12:09:00,31.8,62.4,64.4,709,104,84,99,12.971335473361709,79.15889105761856
2025-05-20 12:10:00,33.1,64.3,67.9,514,294,87,95,12.971993528627516,79.15813399049341
2025-05-20 12:11:00,30.0,67.7,77.0,564,130,80,99,12.971592166242521,79.1579503563905
2025-05-20 12:12:00,29.2,56.9,57.4,977,106,75,99,12.97214391052788,79.15846957313721
2025-05-20 12:13:00,31.1,57.1,56.3,117,106,75,98,12.970667069372377,79.15820000805996
2025-05-20 12:14:00,31.9,45.6,71.9,912,244,93,95,12.97146959423198,79.15839761835956
2025-05-20 12:15:00,30.4,69.6,67.3,231,282,93,93,12.972620233167838,79.15797704168044
2025-05-20 12:16:00,31.4,57.5,68.2,377,130,72,97,12.970939465632297,79.15745733856436
2025-05-20 12:17:00,30.7,49.9,92.4,129,145,82,96,12.972448651818818,79.15784080640236
2025-05-20 12:18:00,28.0,47.6,76.7,612,145,79,99,12.971451178919441,79.15653240177514
2025-05-20 12:19:00,31.0,55.8,71.8,138,114,77,96,12.971326066218156,79.15784843210523
2025-05-20 12:20:00,29.4,54.0,71.7,627,270,100,95,12.97123778136045,79.15834031892273
2025-05-20 12:21:00,31.5,48.7,60.3,473,171,97,96,12.971749680169467,79.15789441072118
2025-05-20 12:22:00,31.1,65.5,68.9,906,133,84,99,12.971314374170392,79.15788449670735
2025-05-20 12:23:00,28.4,50.8,83.8,213,100,72,99,12.971257975389893,79.15889991117243
2025-05-20 12:24:00,29.6,60.6,86.1,463,95,80,99,12.970985906849014,79.15807486307406
2025-05-20 12:25:00,26.9,82.2,79.5,168,298,85,95,12.972009306452488,79.15851450680331
2025-05-20 12:26:00,31.9,45.7,76.8,999,78,68,98,12.971390934684187,79.15801300684238
2025-05-20 12:27:00,28.6,42.4,55.0,277,84,76,99,12.971962669681337,79.1577177011704
2025-05-20 12:28:00,27.8,61.6,78.1,147,144,77,96,12.971924552816786,79.15771356553103
2025-05-20 12:29:00,32.5,60.2,71.4,956,253,91,94,12.971352161722741,79.15774416553047
2025-05-20 12:30:00,31.3,59.8,87.8,292,88,84,99,12.971064359441584,79.15836205159671
2025-05-20 12:31:00,24.6,62.6,72.2,631,98,65,99,12.971433299619108,79.15757656153144
2025-05-20 12:32:00,27.6,56.3,89.4,806,125,67,98,12.972048414586556,79.15822608033457
2025-05-20 12:33:00,27.8,52.3,70.3,674,144,81,98,12.971156463324448,79.15708252339341
2025-05-20 12:34:00,28.8,54.6,73.7,147,118,70,98,12.971644911212286,79.15756147196153
2025-05-20 12:35:00,30.8,66.3,82.8,853,139,65,97,12.971693685099279,79.1578279991162
2025-05-20 12:36:00,24.8,48.8,61.0,539,243,87,95,12.971118676015438,79.15867022974173
2025-05-20 12:37:00,28.1,58.9,62.1,122,267,93,93,12.971229859624493,79.15848388978435
2025-05-20 12:38:00,29.6,44.0,78.5,880,65,72,97,12.971865730253885,79.15792182242005
2025-05-20 12:39:00,31.0,67.4,77.0,363,95,66,99,12.971229052887807,79.15840283125628
2025-05-20 12:40:00,32.1,67.5,67.6,167,99,79,96,12.971761556389106,79.15799639292902
2025-05-20 12:41:00,30.5,51.9,77.8,709,52,65,98,12.972089973438234,79.15779397829742
2025-05-20 12:42:00,31.9,43.7,57.3,864,73,77,96,12.971829171556442,79.15815262393406
2025-05-20 12:43:00,31.7,45.6,78.5,336,130,66,96,12.972317086375682,79.15721886127197
2025-05-20 12:44:00,26.8,45.1,81.6,708,282,101,93,12.971862948776849,79.15796675816242
2025-05-20 12:45:00,32.9,68.4,83.2,463,113,68,99,12.970700390594134,79.15850794502394
2025-05-20 12:46:00,30.9,72.2,56.6,643,229,100,94,12.971383309903592,79.15710723823013
2025-05-20 12:47:00,28.9,63.2,65.6,323,63,73,99,12.971607557616142,79.15819973524606
2025-05-20 12:48:00,25.5,60.9,73.7,117,238,89,95,12.971580064471794,79.15903402819872
2025-05-20 12:49:00,35.2,65.6,65.4,194,99,80,96,12.971773359577721,79.15890480219335
2025-05-20 12:50:00,26.8,61.6,79.8,637,238,103,95,12.971960700671593,79.1571524734848
2025-05-20 12:51:00,28.9,64.1,60.9,728,145,82,97,12.971243176429068,79.15801170599913
2025-05-20 12:52:00,32.0,64.6,66.0,700,112,68,96,12.971446177033789,79.1565576060063
2025-05-20 12:53:00,34.8,53.8,67.8,535,199,97,96,12.971404679202246,79.1580343644185
2025-05-20 12:54:00,27.2,52.1,72.8,382,124,82,99,12.971891429201467,79.15795771240266
2025-05-20 12:55:00,30.9,61.0,79.2,440,70,76,98,12.971383958319505,79.15802250034103
2025-05-20 12:56:00,27.1,57.0,67.0,384,243,93,93,12.97162590143524,79.15730450273949
2025-05-20 12:57:00,31.5,55.2,63.1,533,124,77,96,12.97222176600037,79.15788985460985
2025-05-20 12:58:00,26.8,44.5,67.0,906,78,79,97,12.970937911478636,79.159169911862
2025-05-20 12:59:00,29.3,61.0,83.5,322,130,81,96,12.971114455738181,79.1579453460679
2025-05-20 13:00:00,28.6,47.4,70.2,808,182,95,96,12.972192056784857,79.15773938124163
2025-05-20 13:01:00,28.7,70.4,60.7,874,181,91,99,12.970824402938065,79.15733596925543
2025-05-20 13:02:00,32.9,74.0,55.3,962,54,82,96,12.971897620941064,79.15786383542967
2025-05-20 13:03:00,28.3,69.3,60.7,636,122,76,97,12.971190441102513,79.1575330490175
2025-05-20 13:04:00,30.2,73.9,78.5,437,208,90,93,12.971636953224953,79.15875674927884
2025-05-20 13:05:00,31.6,61.0,62.5,501,123,74,97,12.971637742364962,79.15757543573002
2025-05-20 13:06:00,34.4,81.0,65.6,566,124,70,97,12.971249230844826,79.15778250828696
2025-05-20 13:07:00,31.5,57.8,58.5,933,121,66,98,12.972066912764953,79.15829387108234
2025-05-20 13:08:00,31.1,46.8,77.9,918,63,81,99,12.971221986405538,79.15797402112659
2025-05-20 13:09:00,34.0,55.3,69.9,810,78,81,97,12.971336489394186,79.15820446340001
2025-05-20 13:10:00,33.7,33.0,69.5,742,138,81,99,12.97173333547181,79.15742445945273
2025-05-20 13:11:00,34.1,44.6,71.2,155,278,95,94,12.971268536760384,79.15745555380023
2025-05-20 13:12:00,29.1,55.5,73.7,490,90,71,99,12.971638833639226,79.15774759063187
2025-05-20 13:13:00,32.9,60.9,50.3,529,57,81,96,12.971794525152227,79.15878924540777
2025-05-20 13:14:00,29.4,76.8,81.1,146,131,79,96,12.972084313941345,79.1576879912813
2025-05-20 13:15:00,26.1,50.2,73.9,830,98,79,99,12.971623085424323,79.15791905092756
2025-05-20 13:16:00,33.8,79.6,75.0,617,110,72,97,12.971626932742526,79.15799033123031
2025-05-20 13:17:00,30.9,54.4,48.4,522,121,82,99,12.971248251457855,79.15852902054971
2025-05-20 13:18:00,30.6,64.6,75.4,635,102,78,99,12.971654305962348,79.15822952948085
2025-05-20 13:19:00,30.8,69.8,64.4,574,120,73,97,12.970655535900212,79.15727361974547
2025-05-20 13:20:00,29.5,52.1,81.9,511,134,82,98,12.972039819238978,79.15852793357274
2025-05-20 13:21:00,26.3,85.9,71.2,427,51,78,98,12.971653459500862,79.15798541531274
2025-05-20 13:22:00,31.9,76.0,64.7,421,87,76,97,12.971443752262939,79.15810247092132
2025-05-20 13:23:00,27.1,68.8,64.6,491,258,102,94,12.971233407470946,79.15782978561457
2025-05-20 13:24:00,30.6,64.7,73.0,882,159,102,97,12.971626799849252,79.15815564426175
2025-05-20 13:25:00,29.3,62.4,75.2,425,216,93,94,12.97164244630274,79.15818591919924
2025-05-20 13:26:00,33.7,72.9,61.8,592,197,88,97,12.971185147757845,79.15810654229995
2025-05-20 13:27:00,28.2,51.7,58.3,493,71,65,99,12.972040779747159,79.15771223641735
2025-05-20 13:28:00,27.6,33.1,76.6,693,83,70,97,12.971507665187321,79.157645346254
2025-05-20 13:29:00,30.0,68.4,75.5,695,291,87,93,12.971642884000461,79.15790191488179
2025-05-20 13:30:00,32.5,55.3,56.4,198,195,90,97,12.97232301733735,79.15754614485395
2025-05-20 13:31:00,29.8,54.0,74.3,529,166,101,99,12.971826619764574,79.15784606584057
2025-05-20 13:32:00,31.9,69.9,66.1,432,126,82,98,12.971155595009067,79.15882939944436
2025-05-20 13:33:00,28.6,58.9,60.1,263,267,85,95,12.97188979877531,79.15782587666835
2025-05-20 13:34:00,25.7,75.4,75.9,271,138,66,98,12.97189690736161,79.15811837390358
2025-05-20 13:35:00,24.8,65.8,61.5,571,141,65,99,12.972106059382925,79.15762531740941
2025-05-20 13:36:00,31.5,66.9,69.6,486,92,70,97,12.972513044400689,79.15871843364694
2025-05-20 13:37:00,31.3,53.0,58.1,162,191,102,97,12.972339038486286,79.15777565669023
2025-05-20 13:38:00,30.9,71.5,74.8,752,140,65,99,12.972091616417243,79.158482864056
2025-05-20 13:39:00,30.4,58.5,79.8,484,65,71,96,12.97141700829134,79.15828608421695
2025-05-20 13:40:00,30.0,72.3,66.7,389,59,83,96,12.971530800721741,79.15861868234448
2025-05-20 13:41:00,32.6,94.2,86.2,144,57,76,97,12.972196423114406,79.15838196785677
